"","pid","w1_nc_outcome","w1_nc_intrv_c","w1_nc_intrv_d","w1_nc_intrv_m","w1_nc_intrv_y","w1_nc_duration","w1_nc_dob_m","w1_nc_dob_y","w1_nc_gen","w1_nc_popgrp","w1_nc_popgrp_o","w1_nc_edschgrd","w1_nc_edter","w1_nc_prov","w1_nc_moveprov","w1_nc_lvbfprov","w1_nc_lvdurprov","w1_nc_moveres_apr","w1_nc_moveres_may","w1_nc_dwltyp","w1_nc_nopres","w1_nc_no60res","w1_nc_nou18res","w1_nc_nou7res","w1_nc_nocld","w1_nc_watsrc","w1_nc_watwsh","w1_nc_enrgelec","w1_nc_em_feb","w1_nc_emany_feb","w1_nc_ems_feb","w1_nc_emdays_feb","w1_nc_emhrs_feb","w1_nc_eminc_feb","w1_nc_eminc_feb_brac","w1_nc_em_apr","w1_nc_emany_apr","w1_nc_ems_apr","w1_nc_emreturn","w1_nc_emabs_apr","w1_nc_emabs_apr_o","w1_nc_emtyp","w1_nc_emwnt","w1_nc_noemdc","w1_nc_noemex","w1_nc_noemex_o","w1_nc_emwrk_isco_c","w1_nc_emdays_apr","w1_nc_emhrs_apr","w1_nc_empay_freq","w1_nc_emdayinc_apr","w1_nc_emwkinc_apr","w1_nc_emwkinc_apr_brac","w1_nc_em2wksinc_apr","w1_nc_em2wksinc_apr_brac","w1_nc_eminc_apr","w1_nc_eminc_apr_brac","w1_nc_emcontr","w1_nc_eminc_ters","w1_nc_emswrk_isco_c","w1_nc_embusdays_apr","w1_nc_embushrs_apr","w1_nc_emsvat","w1_nc_emsinc_apr","w1_nc_emsinc_apr_brac","w1_nc_emsnumemp_feb","w1_nc_emsnumemp_feb_2","w1_nc_emsnumemp","w1_nc_emsnumemp_2","w1_nc_emspaysal","w1_nc_emscls","w1_nc_unems","w1_nc_unemdc","w1_nc_unemwrk_isco_c","w1_nc_uneminc_uif","w1_nc_hhincchld","w1_nc_incchld","w1_nc_hhincgovpen","w1_nc_incgovpen","w1_nc_incgov","w1_nc_incgovtyp1","w1_nc_incgovtyp2","w1_nc_incgovtyp3","w1_nc_incgovtyp_o","w1_nc_hhincsrc1","w1_nc_hhincsrc2","w1_nc_hhincsrc3","w1_nc_hhincsrc_o","w1_nc_hhincdec1","w1_nc_hhincdec2","w1_nc_hhincdec3","w1_nc_hhincdec_o","w1_nc_hhinc","w1_nc_hhincchng","w1_nc_hhfdyn","w1_nc_fdayn","w1_nc_fdaskp","w1_nc_fdcyn","w1_nc_fdcskp","w1_nc_chldcr","w1_nc_chldcr_v","w1_nc_hhcsch","w1_nc_edcbook","w1_nc_edctv","w1_nc_edcrad","w1_nc_edccon","w1_nc_suppgov","w1_nc_suppngo","w1_nc_suppcom","w1_nc_cvrsk","w1_nc_cvhhtest","w1_nc_cvtest","w1_nc_cvrslt","w1_nc_cvsypt1","w1_nc_cvsypt2","w1_nc_cvsypt3","w1_nc_cvsypt4","w1_nc_cvsypt5","w1_nc_cvsypt6","w1_nc_cvsypt7","w1_nc_cvsypt8","w1_nc_cvsypt_o","w1_nc_cvavd","w1_nc_cvbeh","w1_nc_cvbehtyp1","w1_nc_cvbehtyp2","w1_nc_cvbehtyp3","w1_nc_cvbehtyp4","w1_nc_cvbehtyp5","w1_nc_cvbehtyp6","w1_nc_cvbehtyp7","w1_nc_cvbehtyp_o","w1_nc_cvinfo1","w1_nc_cvinfo2","w1_nc_cvinfo3","w1_nc_cvinfo4","w1_nc_cvinfo5","w1_nc_cvinfo6","w1_nc_cvinfo7","w1_nc_cvinfo_o","w1_nc_hlcur","w1_nc_hl4y","w1_nc_hl4br","w1_nc_hl4syp","w1_nc_hl4vis","w1_nc_hlcon","w1_nc_hlcontyp","w1_nc_hlcontyp_o","w1_nc_hlnocon1","w1_nc_hlnocon2","w1_nc_hlnocon3","w1_nc_hlnocon_o","w1_nc_hlmed","w1_nc_hlmedtyp","w1_nc_hlmedtyp_o","w1_nc_hlser","w1_nc_hlmedaid","w1_nc_intres","w1_nc_intlng1","w1_nc_intlng2","w1_nc_intlng3","w1_nc_intlng4","w1_nc_intlng5","w1_nc_intlng6","w1_nc_intlng7","w1_nc_intlng8","w1_nc_intlng9","w1_nc_intlng10","w1_nc_intlng11"
"2101",313785,1,637,18,6,2020,16.13,9,1979,1,1,"",11,1,5,2,NA,NA,2,2,1,8,1,2,1,3,1,1,1,2,2,3,NA,NA,NA,NA,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,9,2,2,NA,1,NA,2,NA,NA,NA,"",3,4,NA,"",4,NA,NA,"",-9,1,2,2,NA,2,NA,1,3,2,1,1,2,2,2,2,2,2,1,2,NA,2,3,NA,NA,NA,NA,NA,NA,"",1,1,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",4,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,1,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2102",313788,1,626,17,6,2020,24.13,10,1953,1,1,"",3,NA,5,2,NA,NA,2,2,1,4,1,1,0,3,2,1,2,2,2,3,NA,NA,NA,NA,2,2,3,2,NA,"",NA,2,4,4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,"",3,NA,NA,"",7,NA,NA,"",-9,2,2,2,NA,2,NA,2,NA,1,-9,2,-9,2,2,2,2,2,2,NA,NA,-9,NA,NA,NA,NA,NA,NA,NA,"",-9,2,NA,NA,NA,NA,NA,NA,NA,"",2,8,NA,NA,NA,NA,NA,"Cell Phone Provider Sms",3,2,2,2,1,1,2,"",NA,NA,NA,"",1,3,"",1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2103",313798,1,637,23,6,2020,16.27,2,1977,1,1,"",12,2,5,2,NA,NA,2,1,2,6,0,3,0,2,2,1,2,1,NA,NA,5,8,2300,NA,2,2,3,1,1,"",1,NA,NA,NA,"",5,0,0,4,NA,NA,NA,NA,NA,0,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0,NA,2,NA,NA,NA,"",1,3,NA,"",7,NA,NA,"",-9,1,1,2,NA,2,NA,1,4,4,1,2,1,2,2,2,2,2,1,2,NA,5,6,9,NA,NA,NA,NA,NA,"",1,1,1,2,7,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",4,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,1,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2104",313803,1,609,23,6,2020,14.92,6,1972,1,1,"",4,NA,1,2,NA,NA,2,2,4,2,0,0,NA,4,2,1,1,1,NA,NA,7,8,3600,NA,1,NA,NA,NA,NA,"",1,NA,NA,NA,"",6,7,8,3,NA,NA,NA,3600,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,NA,NA,NA,"",1,NA,NA,"",7,NA,NA,"",3600,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,1,2,5,NA,NA,NA,NA,NA,"",1,1,1,4,7,8,NA,NA,NA,"Exercise",2,NA,NA,NA,NA,NA,NA,"",3,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2105",313804,1,616,24,6,2020,17.18,2,1947,2,1,"",4,NA,2,2,NA,NA,2,2,1,2,1,1,0,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,"",3,NA,NA,"",7,NA,NA,"",3000,2,1,2,NA,2,NA,1,4,1,-9,2,1,2,2,2,2,-9,2,NA,NA,-9,NA,NA,NA,NA,NA,NA,NA,"",-9,2,NA,NA,NA,NA,NA,NA,NA,"",9,NA,NA,NA,NA,NA,NA,"",3,2,2,1,2,1,3,"",NA,NA,NA,"",1,3,"",2,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2106",313805,1,682,24,6,2020,14.88,9,1957,1,1,"",8,NA,2,1,7,7,1,1,1,5,0,3,2,3,1,1,1,2,2,3,NA,NA,NA,NA,2,2,3,2,NA,"",NA,2,4,6,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,1,2,NA,NA,"",3,NA,NA,"",3,NA,NA,"",1700,1,1,2,NA,2,NA,1,4,2,1,1,2,2,2,2,2,-9,1,1,2,1,2,NA,NA,NA,NA,NA,NA,"",1,1,1,4,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",1,2,2,2,1,1,2,"",NA,NA,NA,"",1,2,"",2,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2107",313815,1,630,22,5,2020,27.17,6,1992,1,1,"",10,2,2,2,NA,NA,2,2,1,8,0,5,0,2,2,1,1,1,NA,NA,7,4,500,NA,1,NA,NA,NA,NA,"",4,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,5,-9,700,NA,2,2,2,2,1,3,NA,NA,NA,NA,5,NA,0,NA,2,NA,NA,NA,"",2,NA,NA,"",2,NA,NA,"",700,1,2,2,NA,2,NA,2,NA,5,2,2,2,2,2,2,2,1,2,NA,NA,1,2,9,NA,NA,NA,NA,NA,"",1,1,1,2,8,NA,NA,NA,NA,"No Watching Tv Together Anymore",3,NA,NA,NA,NA,NA,NA,"",1,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2108",313842,1,631,13,5,2020,23.93,99,9999,2,1,"",3,NA,2,2,NA,NA,2,2,4,10,1,3,1,3,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,2,NA,NA,NA,"",3,NA,NA,"",6,NA,NA,"",-9,2,2,2,NA,2,NA,1,2,5,2,2,1,2,2,2,2,2,2,NA,NA,1,10,NA,NA,NA,NA,NA,NA,"",2,1,1,7,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",3,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2109",313849,1,605,4,6,2020,18.03,12,1991,1,1,"",6,NA,2,2,NA,NA,2,2,1,2,0,0,NA,3,1,1,1,1,NA,NA,5,5,3000,NA,1,NA,NA,NA,NA,"",1,NA,NA,NA,"",8,5,5,4,NA,NA,NA,NA,NA,3000,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,NA,NA,NA,"",1,NA,NA,"",1,NA,NA,"",-8,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,"",1,1,1,4,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",3,2,2,2,2,NA,NA,"",NA,NA,NA,"",1,5,"",2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2110",313854,1,669,17,6,2020,28.72,3,1947,1,1,"",3,NA,2,2,NA,NA,2,2,1,3,0,1,1,3,2,1,1,1,NA,NA,2,8,-9,2,1,NA,NA,NA,NA,"",1,NA,NA,NA,"",9,-9,NA,4,NA,NA,NA,NA,NA,-9,2,1,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,"",3,NA,NA,"",6,NA,NA,"",-9,2,1,2,NA,2,NA,2,NA,1,1,2,1,2,2,2,2,1,2,NA,NA,-9,NA,NA,NA,NA,NA,NA,NA,"",-9,2,NA,NA,NA,NA,NA,NA,NA,"",4,NA,NA,NA,NA,NA,NA,"",-9,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2111",313855,1,624,11,6,2020,37.85,3,1968,2,1,"",9,2,2,1,1,2,2,1,1,3,1,0,NA,2,2,1,1,1,NA,NA,2,7,700,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,5,-9,780,NA,-8,0,1,NA,NA,4,NA,NA,NA,NA,0,NA,1,NA,2,NA,NA,NA,"",4,NA,NA,"",4,NA,NA,"",3500,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,"",1,1,1,2,4,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",2,1,2,2,2,1,1,"",NA,NA,NA,"",2,NA,"",2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2112",313861,1,607,5,6,2020,12.27,7,1991,1,1,"",12,2,1,2,NA,NA,2,2,1,4,0,1,1,3,1,1,1,1,NA,NA,4,12,6200,NA,1,NA,NA,NA,NA,"",1,NA,NA,NA,"",5,4,12,4,NA,NA,NA,NA,NA,6200,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,2,NA,NA,NA,"",1,3,NA,"",1,3,NA,"",6600,2,2,2,NA,2,NA,1,4,0,2,2,2,2,2,2,2,1,1,1,2,1,2,4,NA,NA,NA,NA,NA,"",2,1,3,9,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",3,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2113",313866,1,640,15,6,2020,21.55,11,1966,2,1,"",11,2,2,2,NA,NA,2,2,1,7,0,4,1,3,2,1,1,1,NA,NA,5,5,800,NA,2,2,3,1,1,"",1,NA,NA,NA,"",2,0,0,4,NA,NA,NA,NA,NA,700,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,NA,2,NA,NA,NA,"",4,NA,NA,"",6,NA,NA,"",1200,1,1,2,NA,2,NA,1,2,4,1,1,1,2,2,2,2,1,2,NA,NA,1,5,NA,NA,NA,NA,NA,NA,"",1,1,1,4,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",3,1,2,2,2,1,1,"",NA,NA,NA,"",2,NA,"",1,2,1,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2114",313897,1,669,25,6,2020,23.7,10,1977,1,1,"",9,2,2,2,NA,NA,1,2,1,7,1,3,1,3,1,1,1,2,1,NA,5,6,-8,2,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,8,2,3,NA,1,NA,2,NA,NA,NA,"",3,NA,NA,"",7,NA,NA,"",-9,2,2,1,5,2,NA,2,NA,2,1,1,2,2,1,2,2,1,2,NA,NA,2,5,NA,NA,NA,NA,NA,NA,"",1,1,1,4,7,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",2,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2115",313899,1,607,22,5,2020,14.27,8,1977,2,1,"",11,2,2,2,NA,NA,2,2,1,3,0,1,1,3,2,1,1,1,NA,NA,5,9,950,NA,2,2,3,-9,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,9,2,1,NA,0,NA,2,NA,NA,NA,"",1,3,NA,"",3,NA,NA,"",400,2,1,2,NA,2,NA,1,4,1,1,1,1,1,2,2,2,2,2,NA,NA,1,7,NA,NA,NA,NA,NA,NA,"",1,1,1,4,7,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",3,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2116",313938,1,604,3,6,2020,11.27,1,1988,2,1,"",12,2,5,2,NA,NA,2,2,1,6,0,3,2,2,1,1,1,2,2,3,NA,NA,NA,NA,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,1,NA,0,NA,1,1,NA,NA,"",3,NA,NA,"",7,NA,NA,"",750,1,1,2,NA,2,NA,1,4,2,3,1,2,2,1,2,2,2,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,"",1,1,4,NA,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",3,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2117",313939,1,645,25,5,2020,24.47,2,1987,2,1,"",12,1,5,2,NA,NA,2,2,1,3,0,0,NA,4,1,1,1,1,NA,NA,-9,NA,8000,NA,1,NA,NA,NA,NA,"",1,NA,NA,NA,"",2,-7,NA,4,NA,NA,NA,NA,NA,-8,-8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,NA,NA,NA,"",1,NA,NA,"",7,NA,NA,"",-8,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,1,5,NA,NA,NA,NA,NA,NA,"",1,1,1,4,7,NA,NA,NA,NA,"",2,7,NA,NA,NA,NA,NA,"",4,2,1,2,2,2,NA,"",6,NA,NA,"",2,NA,"",2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2118",313940,1,626,17,6,2020,15,6,1968,2,1,"",7,NA,5,2,NA,NA,2,2,1,2,0,0,NA,3,1,1,1,1,NA,NA,-9,NA,1500,NA,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,0,NA,0,NA,1,3,NA,NA,"",3,NA,NA,"",7,NA,NA,"",1600,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,1,4,5,NA,NA,NA,NA,NA,"",1,1,7,NA,NA,NA,NA,NA,NA,"",2,3,NA,NA,NA,NA,NA,"",4,2,2,2,1,1,5,"",NA,NA,NA,"",2,NA,"",1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2119",313945,1,623,5,6,2020,21.35,2,1984,2,1,"",12,2,5,2,NA,NA,2,2,2,3,1,1,0,1,2,1,1,1,NA,NA,5,8,3950,NA,1,NA,NA,NA,NA,"",2,NA,NA,NA,"",7,5,8,4,NA,NA,NA,NA,NA,3960,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,"",1,3,NA,"",7,NA,NA,"",5000,1,1,2,NA,2,NA,1,4,1,1,1,1,1,2,2,2,1,1,1,2,1,2,3,4,5,NA,NA,NA,"",1,1,1,2,4,NA,NA,NA,NA,"",2,3,NA,NA,NA,NA,NA,"",3,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2120",313947,1,604,15,6,2020,12.92,99,9999,1,1,"",6,NA,5,2,NA,NA,2,2,1,7,2,5,-9,3,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,2,NA,NA,"",3,NA,NA,"",7,NA,NA,"",2010,2,1,1,2,1,2,2,NA,4,3,2,2,2,1,2,2,-9,2,NA,NA,-9,NA,NA,NA,NA,NA,NA,NA,"",1,1,4,7,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",4,2,2,2,2,NA,NA,"",NA,NA,NA,"",1,2,"",1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2121",313949,1,620,25,5,2020,18.93,9,1986,2,1,"",12,1,5,2,NA,NA,2,2,2,6,1,2,1,3,1,1,1,2,2,3,NA,NA,NA,NA,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,9,2,2,NA,0,NA,2,NA,NA,NA,"",1,NA,NA,"",3,NA,NA,"",1800,1,1,2,NA,2,NA,1,2,1,1,1,1,2,1,2,2,2,2,NA,NA,1,2,3,NA,NA,NA,NA,NA,"",1,1,1,2,NA,NA,NA,NA,NA,"",1,2,NA,NA,NA,NA,NA,"",2,2,2,2,2,NA,NA,"",NA,NA,NA,"",1,2,"",2,2,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2122",313952,1,606,5,6,2020,23.25,2,1952,2,1,"",19,NA,5,2,NA,NA,2,2,2,3,1,1,0,3,2,1,1,2,2,3,NA,NA,NA,NA,2,2,3,2,NA,"",NA,2,5,2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,2,NA,NA,"",3,NA,NA,"",7,NA,NA,"",-9,2,2,2,NA,2,NA,1,4,1,1,1,1,1,2,2,2,2,1,1,2,1,2,10,NA,NA,NA,NA,NA,"",1,1,1,4,9,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",4,2,2,2,1,1,2,"",NA,NA,NA,"",1,2,"",2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2123",313964,1,644,15,6,2020,13.87,3,1985,2,1,"",8,NA,5,2,NA,NA,2,2,2,8,1,-8,-8,3,1,1,1,2,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,"",2,NA,NA,NA,"",9,5,8,4,NA,NA,NA,NA,NA,1000,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,-8,2,2,NA,NA,NA,"",3,NA,NA,"",-8,NA,NA,"",-8,2,2,2,NA,2,NA,2,NA,3,1,1,2,2,2,2,2,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,NA,"",3,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2124",313975,1,635,13,5,2020,23.2,5,1987,2,1,"",9,2,5,2,NA,NA,2,2,1,6,0,1,0,3,1,1,1,2,2,3,NA,NA,NA,NA,2,2,3,2,NA,"",NA,2,4,9,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,2,NA,NA,NA,"",1,3,NA,"",1,4,NA,"",-9,1,1,2,NA,2,NA,1,1,1,1,1,1,2,2,2,2,2,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,"",1,1,1,4,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",2,2,2,2,2,NA,NA,"",NA,NA,NA,"",1,5,"",2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2125",313984,1,638,17,6,2020,17.65,12,1988,1,1,"",12,2,5,2,NA,NA,2,2,1,7,0,3,1,3,1,1,1,1,NA,NA,5,4,7000,NA,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,3,NA,0,NA,2,NA,NA,NA,"",2,NA,NA,"",2,NA,NA,"",-9,1,2,2,NA,2,NA,1,4,3,1,1,1,2,2,2,2,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"",1,1,4,9,NA,NA,NA,NA,NA,"",2,8,NA,NA,NA,NA,NA,"Cell Phone Provider Sms",1,2,2,2,2,NA,NA,"",NA,NA,NA,"",2,NA,"",2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2126",313985,1,619,10,6,2020,21.73,10,1964,2,1,"",3,NA,5,2,NA,NA,2,2,2,8,0,4,2,3,1,1,1,1,NA,NA,4,10,1355,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6,8,2,2000,NA,1,0,1,NA,NA,4,NA,NA,NA,NA,3,NA,0,NA,1,2,NA,NA,"",3,5,NA,"Pension",7,NA,NA,"",-9,2,2,2,NA,2,NA,2,NA,2,1,1,1,2,2,2,2,2,2,NA,NA,1,2,10,NA,NA,NA,NA,NA,"",1,1,1,4,7,9,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",3,2,2,2,1,1,2,"",NA,NA,NA,"",2,NA,"",1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2127",314002,1,644,5,6,2020,15.08,6,1984,2,1,"",9,2,5,2,NA,NA,2,2,1,2,-8,-8,-8,4,1,1,1,1,NA,NA,1,8,1600,NA,2,2,3,2,NA,"",NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,9,2,-8,-8,-8,-8,2,NA,NA,NA,"",1,NA,NA,"",1,NA,NA,"",-8,1,1,1,1,-8,NA,-8,NA,0,3,-9,-9,-9,2,2,2,-9,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,NA,"",5,2,2,2,1,1,2,"",NA,NA,NA,"",1,2,"",2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
